,review_text
0,Bem macio e felpudo...recomendo.  Preço imbatível e entrega rápida. Compraria outro quando precisar
1,Produto excepcional!  recomendo!!! inovador e gostoso de ler!!
2,recebi o produto antes do prazo mas veio com defeito na trava ou seja não da para usar e até agora a Americanas não resolveu e preciso muito deste produto
3,Bom custo beneficio. Adequado para pessoas que fazem um uso casual do aparelho . A máquina fotográfica é excelente . A tela fornece imagens ótimas . Os recursos do aparelho são fáceis de manejar.
4,"Além de higiênico tem o tamanho ideal. Só faltou colher e garfo de sobremesa. Talvez se viesse com  mais peças, eu gostaria mais."
5,"ótmo produto atendeu as expectativas, a entrega ocorreu antes do previsto. muito bom"
6,"GOSTEI MUITO DO PRODUTO! TEM ÓTIMA QUALIDADE, E FACILITA MUITO A APLICAÇÃO DO GEL."
7,"Adorei, entrega no prazo e produto conforme eu esperava, recomendadíssimo."
8,Já é o segundo processador deste modelo que compro (o primeiro foi para minha mãe) e só tenho elogios. É muito forte e facilita bastante os processos.
9,"Nao recebi!!!  endereço para entrega : rua augusto hog, 186 casa 02 jardim presidente dutra guarulhos sp cep 07172200 favor enviar!!!"
10,"Não compra este produto, pois o mesmo veio com os botões travados e ao tentar ligar o mesmo nem ligou. Péssima qualidade."
11,"Adorei o smartphone, excelente acabamento, veloz e muito intuitivo"
12,"Tive azar, pois o produto não ligou. Tive que entregar para o fornecedor."
13,Uma enganação! Esperei quase um mês e cancelaram o pedido. E o produto continua disponível. Nem entraram em contato. Palhaçada!!! #carrodemola
14,Ué não entendi! Estava procurando recomendações a respeito da pipoqueira da Cadence vi esses comentários . Agora fui ver a da Britânia: os mesmos comentários!!!?? Como assim???
15,O produto chegou antes do prazo estimado. Ótimo produto. Recomendo a todos esse vendedor.
16,produto excelente  Atingiu as expectativas  Recomendo o produto
17,"Lindo o relógio, entrega super rápida. Estou satisfeita com a compra."
18,Atendeu as minhas expectativas e funcionou perfeitamente como repetidor de sinal.
19,Recomendo a compra de cartuchos HP e outros produtos pelo site americanas.com!
20,muito show!...........................................................................................................................................................................................................................................................................................
21,Um Produto muito bom e simples recomendo esta telivisao a todos
22,"Estou gostando muito da torradeira Gourmet Oster, bonita e eficiente!"
23,Estou satisfeito com o serviço prestado pela americanas.com
24,Aparelho muito bom! Ótima imagem e fotos maravilhosas.
25,Cancelei 10 minutos depois que efetuei a compra e me mandaram mesmo assim
26,"Muito bom, valeu a pena a compra. Muito bonito. Gostei"
27,"Capa flexível e macia ,deixa o celular  firme na mão !"
28,Na estação do som tudo correto mas a estalar os autuofalante não sai som.
29,Adorei o celular . Produto excelente.  Atende as minhas necessidades.
30,Não chegou ainda então não tem como ser avaliado quando chegar com certeza irei avaliar obrigada
31,"Produto emborrachado, ótimo para criança pequena. Chegou super rápido e minha neta de 1,5 anos adorou."
32,"Balcão bonito. Entrega no prazo. Material frágil. Veio faltando parafusos para fixação do tampo, assim como faltou a proteção (cor preta) atrás do tampo, que aparece na imagem. Montagem fácil, mas o manual de instruções poderia ser mais completo. Não recomendo pela falta dos parafusos e da proteção."
33,"Para mim, ele é útil. Tem tudo que eu preciso. Fácil de encontrar as configurações, aplicativos baixam rápidos. Câmera ótima com muitos filtros, selfie fácil de manuseiar."
34,Adquirir essa pipoqueira elétrica e estou muito satisfeito com resultado
35,"Ótimo produto peças de qualidade, bonitas e bem acabadas. Recomendo"
36,Ótimo!!! adoro este produto já comprei outras vezes gostei e agora comprei dnovo super recomendo
37,"Gostei muito deste produto, principalmente por seu designe."
38,Qualida do produto dentro das espectativas. Entrega efetuada antes da data prevista. Recomendo!
39,"Eu comprei este produto, entretanto me foi entregue um produto diferente, foi entregue um produto que aceita somente um chip (modelo k33b37)  além disso veio faltando o fone. Estou em comunicação com a parceira Eletrobest e eles já me enviaram o código postal para eu enviar e fazer a troca.   O produto que veio, apesar de errado , é um produto bom, design bonito, leve, com muitas funcionalidades, entretanto como já mencionado, a empresa parceira cometeu dois erros que eu considero erros muito primários e graves ( mandar o produto errado e faltando o fone)"
40,Estou decepcionada com o serviço oferecido pela americanas. Venceu o prazo de entrega e não recebi o produto.
41,"Bom dia não posso fazer avaliação, pois o produto foi incompatível para rodar no XBOX 360, não havia notado no rodapé da capa que tem que teria que ter o XBOX GOLD, tentei realizar a troca na loja física de Presidente Prudente mais não foi possível."
42,"Comprei a minha smart tv da samsung 49 e amei o produto . Eu recomendo sim , tanto o produto como a loja.   Não me arrependo de ter adquirido... Corra para Americanas mais próxima e garanta a sua.  Tv samsung 49 uma ótima parceira para assistir a copa . Penae nisso !"
43,"No primeiro uso já encheu de bolinhas nas mangas, o atrito do moletom cria varias bolinhas."
44,Chegou super rápido bem antes do prazo de entrega .São lindas super resistente a tampa é bem flequixivel
45,"Produto de boa qualidade e a loja MUNDO MAC STORE me surpreendeu com o bom atendimento e prazo de entrega, RECOMENDO!"
46,"Gostei muito do produto e de como as americanas foi rápida na entrega, estou curtindo meu novo aparelho, fácil de navegar, muito mais rápido devido ao processador. Muito satisfeita!"
47,Acho que o site deveria deixar claro que não é original
48,"ainda não recebi meu produto, ainda estou aguardando o recebimento."
49,"produto de excelente qualidade, jogo intenso com história muito boa, a entrega no prazo."
