,title-abstract,title,label
0,"A note on pattern-recognition techniques and game-playing programs
A problem encountered in the design of game-playing programs the evaluation
of board positions is formally identical to a typical pattern-recognition
problem. Certain techniques, which have been found helpful in the
pattern-recognition case, may therefore also be applied to game-playing
programs. A brief review of these techniques, based on multivariate
analysis, is given.",A note on pattern-recognition techniques and game-playing programs,0
1,"Gambit: A Prototyping Approach to Video Game Design
Video game designers don't have to be assembly language programmers.
Their creative talents can be expressed in a prototyping language.",Gambit: A Prototyping Approach to Video Game Design,1
2,"Amaze: A Multiplayer Computer Game
Amaze relies solely on the V kernel for point-to-point communication.
The game's techniques could work in a general class of distributed
applications.",Amaze: A Multiplayer Computer Game,0
3,"Serious Work: Programming for Games
no abstract: Serious Work: Programming for Games",Serious Work: Programming for Games,0
4,"Computer games: introduction
""Why an issue on computer games?"" you may be asking. Several reasons
come to mind. First, computer science owes a lot to computer games.
Obviously, the computer game industry has made significant advances
in computer graphics, but computer games have also made contributions
in other areas such as human computer interaction and computer architecture.
In the future, I believe the contributions from computer games to
computer science, and vice versa, will be even more numerous. Computer
game companies and software and hardware companies are forming alliances
in order to leverage off each other's research. Entertainment companies
and telecommunication companies are also joining these alliances.
Whatever the outcome of these partnerships, we know that computer
games will change dramatically in the future...",Computer games: introduction,0
5,"Digital storytelling and computer game design
This workshop uses a combination of short lecture and hands on practice
to introduce digital storytelling and computer game design and the
multitude of skills needed to successfully design digital stories
and computer games. Working examples are taken from two current projects
at Indiana University: Lost Highways and Rock-Paper-Scissors in Lizard
Land.",Digital storytelling and computer game design,0
6,"Designing a PC Game Engine
Computer game engine requirements change in response to evolving game
platforms and demands for reduced development costs. We propose a
3D game engine, marketed as NetImmerse, for varying performance levels.",Designing a PC Game Engine,1
7,"Design and simulation of interactive 3D computer games
Design and development of attractive and competitive computer games
is no longer a one-man task, but a complex multistage process with
many participants. Discovering new game ideas and their further development,
game world and characters design and modeling, game evaluation and
testing all these are conducted by specialists teamed to work together.
In this paper we discuss tools and facilities supporting the collaborative
game design and development process through rapid prototyping and
simulation of 3D game worlds, characters, behaviors and other game
functionality. Single player and multi-player games are addressed
in the context of different hardware platforms and software approaches.
We report our experience in building a Game Design and Simulation
testbed environment (GDS) and its usage in location-based entertainment
projects. Work on GDS has been carried out in the scope of the VirtuaFly
project and during the development of the physical motion based commercial
game VirtuaFly2.",Design and simulation of interactive 3D computer games,0
8,"Generalised flowcharts and games
We introduce a generalization of the classical notion of flowchart
for languages with higher order and object-oriented features. These
general flowcharts are obtained by an abstraction of the game semantics
for Idealized Algol and as such rely on a solid mathematical basis.
We demonstrate how charts may be used as the basis for data flow
analysis.",Generalised flowcharts and games,0
9,"Latency and User Behaviour on a Multiplayer Game Server
Multiplayer online games represent one of the most popular forms of
networked group communication on the Internet today. We have been
running a server for a first-person shooter game, Half-Life. In this
paper we analyse some of the delay characteristics of different players
on the server and present some interim results. We find that whilst
network delay has some effect on players behaviour, this is outweighed
by application-level or exogenous effects. Players seem to be remarkably
tolerant of network conditions, and absolute delay bounds appear
to be less important than the relative delay between players.",Latency and User Behaviour on a Multiplayer Game Server,0
10,"Evolving Games and Essential Nets for Affine Polymorphism
This paper presents a game model of Second-order Intuitionistic Multiplicative
Affine Logic (IMAL2). We extend Lamarche s essential nets to the
second-order affine setting and use them to show that the model is
fully and faithfully complete.",Evolving Games and Essential Nets for Affine Polymorphism,0
11,"Wireless Games - Review and Experiment
This paper is an introduction to the domain of wireless games. It
presents a brief history of mobile gaming, a number of important
technologies and introduces classification and evaluation concepts
and criteria. A multi-player, multi-platform card game developed
in the University of Oulu, is used to present authors own experiences
in this field.",Wireless Games - Review and Experiment,1
12,"Architecture for a massively multiplayer online role playing game
engine
Faster networks, faster processors and 3D accelerator cards have contributed
to the push for a new genre of online games, the Massively Multiplayer
Online Role Playing Game, MMORPG. This paper presents a high-level
software architecture for building a MMORPG engine. Six goals for
the architecture are set, the architecture is presented and then
examined to determine how well the goals have been met. The architecture
blends in a unique way several classical software architecture patterns,
using the strength of each to achieve the goals for the system.","Architecture for a massively multiplayer online role playing game
engine",0
13,"Games engines in scientific research
Six-figure workstations and custom software are not producing the
best graphics or virtual reality simulations anymore. Today, the
only way to have the fastest, most realistic simulations and sophisticated
graphics is to trade down from the expensive gear to standard PCs
running game software. Virtual reality (VR), augmented reality (AR),
and high-fidelity physical simulation have long posed too high a
barrier to entry for any but the most generously funded researchers.
Significant advances in computer graphics in these areas have traditionally
depended on expensive, specialized graphics hardware running on scientific
workstations. Highfidelity simulation/graphics software has also
remained an expensive niche market largely the province of the military
and high-end VR labs seeking to drive costly peripherals such as
Caves, datagloves, and head-mounted displays (HMDs). In the past
two years, however, the situation has changed remarkably. Now the
mass market for

computer games, grown even larger than the movie industry, has expropriated
the best in computer hardware and software for itself. The most sophisticated
rendering pipelines are now found not on specialized scientific machines
but on PC video cards costing less than $500. The most sophisticated,
responsive interactive simulations are now found in the engines built
to power games. Despite the stigma of violence and gore associated
...",Games engines in scientific research,0
14,"Design patterns for games
Designing a two-person game involves identifying the game model to
compute the best moves, the user interface (the view) to play the
game, and the controller to

coordinate the model and the view. A crucial task is to represent
the algorithms used in their highest abstract forms. This can prove
to be a difficult and subtle endeavor.

It is made easier however by the use of good objectoriented (OO) design
principles to help maintain a high level abstract viewpoint during
the design process. The state pattern is used to represent the game
board and is coupled with the visitor pattern to provide state-dependent,
variant behaviors. The min -max algorithm and its variants

are implemented as the strategy pattern, which allows flexible and
extensible computational capability. Careful analysis is performed
to properly abstract the interactions

between the model and the view. The command design pattern is used
to provide callback services between the model and the view. Leading
students through this design process enables them to learn algorithms
and architectures that easily scale to full-sized applications.",Design patterns for games,1
15,"Information Flow in Concurrent Games
We consider games where the players have perfect information about
the games state and history, and we focus on the information exchange
that takes place at each round as the players choose their moves.
The abilityof a player to gather information on the opponents choice
of move in a round determines her ability to counteract the move,
and win the game. When the game is played between teams, rather than
single players, the amount of intra-team communication determines
the ability of the team members to coordinate their moves and win
the game. We consider games with quantitative bounds on inter-team
and intra-team information flow, and we provide algorithms and complexity
bounds for their solution.",Information Flow in Concurrent Games,0
16,"Explaining the enjoyment of playing video games: the role of competition
The tremendous and still growing popularity of computer and video
games has inspired Communication Researchers and Media Psychologists
to investigate the factors of the enjoyment experienced by the players.
Apparently, the games' interactivity allows for a continuous stream
of challenging and competitive situations that have to be resolved
by the players. Competition is therefore regarded a key element of
the explanation of players' entertainment experience. Subsequent
to a theoretical explication, empirical evidence for the role of
competition in the playing process and the impact of competitiveness
for selective exposure to computer games is reported from a field
experiment (N = 349) and an online survey study (N = 795).",Explaining the enjoyment of playing video games: the role of competition,0
17,"Facilitating collaboration through design games
In recent years both companies and research communities call for collaborative
work practices and user-centered approaches in various design fields.
There are several challenges and issues to take into consideration.
For instance there is a need to find ways of collaborating across
various competences, interests, responsibilities and perhaps professional
languages both within one organization, between several organizations
and between the organizations and a group of (potential) users. It
is necessary to find ways to learn about users and the contexts of
use, and to create a common understanding of the development task.
This paper presents a set of four design games, which offers solutions
to the challenges mentioned. The design games have been developed
in the Space Studio during several projects and years. Here experiences
are discussed on the basis of two research projects carried out in
collaboration with industrial partners and potential users, and use
of the games in three educational settings.The overall aim of the
design games is to help facilitate a user-centered design process
for cross-disciplinary design groups early in the design process.
Framing collaborative design activities in a game format, arguably
improves idea generation and communication between stakeholders.
By shifting focus to the game, power relations and other factors
that might hamper idea generation, are downplayed.",Facilitating collaboration through design games,0
18,"AI: the Missing Link in Digital Game Interface Design?
The central problem that this paper addresses is how to manage dynamic
change within game environments in response to variable player requirements
and ability. In particular, we discuss the role of a game AI to enable
game systems to learn about individual user patterns, behaviours,
desires or moods in order to adapt the environment in reaction to
the users interaction with the environment. We discuss the role
that AI may play in the design of the game interface in order to
enhance the dynamic and responsive nature of the game system with
respect to individual users and leading to more rewarding and immersive
game experiences.",AI: the Missing Link in Digital Game Interface Design?,0
