,title-abstract,title,label
0,"The wired city: Problem boundaries with municipal government, health
care delivery, education, state services and the informed public
This paper considers some of the sociological problems and benefits
which must be anticipated by any community which is planning a major
TV cable system with a large, on-line computer system at the cable
head, providing a large-scale data retrieval and store-and-forward
system. We will confine the discussion to the impact of (and on)
the provision of data services. The University of Illinois experiment
has already shown the basic technical feasibility of such a system
for 4000 active users.1","The wired city: Problem boundaries with municipal government, health
care delivery, education, state services and the informed public",0
1,"The non-technical person as technical writer/editor and documentation
for the computer illiterate
University computer center personnel know there is no dearth of documentation
designed for the expert. Control Data, UNIVAC, DEC—;even IBM— paper
and fiche all possible areas. IBM's latest Marketing Publications
KWIC Index alone contains 60 pages (double columns, reduced print)
of titles...an ample supply of words, even for rabid manualpeople.
No, the documentation problem which faces User Services groups in
academic installations is how best to provide information to the
non-expert: the new, naive user; the pseudo-sophisticate who comes
on strong with highly-specialized terms like “keypunch” and “listing”,
the Director of User Services—in other words, the various types of
true computer illiterate This paper respectfully suggests that it
is possible to employ a person with no technical training as a technical
writer/editor within a university computer center environment, and
that such an individual can prove amazingly effective in helping
User Services to attack this sometimes menial, always demanding task.","The non-technical person as technical writer/editor and documentation
for the computer illiterate",0
2,"Exposure, knowledge or skill the computer literacy dilemma
There was a time when computer knowledge was so esoteric that only
specialists needed to be educated. Only large organizations had computers
and skills were needed only by the professional staff. Now the scene
has changed. Computers are being used in the smallest of firms. Today
there are millions of computers in homes, and there are offices with
more computers and/or terminals than employees. There is some possibility
that in the future all financial transactions and much shopping will
be done by computer. Thus it is obvious that computer literacy is
needed by all people. The question is not whether but rather what
kind of education is required. There are three levels of understanding
that may be imparted in education. One can teach a subject to the
level of a basic understanding or general knowledge. Or one can provide
detailed knowledge. Finally, one can develop in the student the ability
to make skillful use of the subject area. Music appreciation, counterpoint
and private vocal lessons illustrate the differences in one field
of study. In curriculum development in business we tend to solve
the question of depth of knowledge this way. All students are required
to have a general understanding of the business core and a detailed
knowledge of a major field. In addition, we expect that skills be
developed in communications and quantitative methods. We carried
over this pattern into data processing. However, we didn't know whether
DP was a quantitative area requiring skill development or not. Thus
we have Introduction to Data Processing courses that develop a programming
skill in some language and others that just talk about programming
but don't do any of it. There is substantial disagreement among educators
as to the correct course of action. This lack of agreement, as well
as a belated entry into DP education, has resulted in a limited and
uneven computer education in colleges of business. Our graduates
vary from computer illiterate to very skillful user. What to do about
this situation is the focus of this study.","Exposure, knowledge or skill the computer literacy dilemma",0
3,"A view of database system performance measures
Database systems allow quick creation of performance problems. The
goal of database systems is to allow the computer-illiterate to write
complex and complete applications. It is the job of the system to
translate a high-level description of data and procedures into efficient
algorithms. The REAL performance metric of a system is how successfully
it meets these goals. Practitioners use a much narrower definition
of system performance. They assume a standard workload and measure
performance by peak throughput and by dollar cost per transaction.
Although many vendors have “private” performance measures, Bitton,
Dewitt, and Turbyfill were the first to publish a measure of database
system performance [Bitton]. Their measure, here called the Wisconsin
benchmark, consists of a database design, a set of 32 retrieval and
update statements, and a script for multi-user tests. They give two
performance metrics: the elapsed time for each statement and the
throughput of the system when running sixteen simultaneous scripts.
No response time requirement or cost measure is included in the definition.
The Wisconsin benchmark is the most widely used database benchmark.
Largely in response to the Wisconsin benchmark, an informal group
including Bitton and Dewitt, defined a benchmark more representative
of transaction processing applications [Anon]. Its workload is: SCAN
- A mini-batch operation to sequentially copy 1000 records SORT -
A batch operation to sort one million records. DebitCredit - A short
transaction with terminal input and output via X.25, presentation
services, and a mix of five database accesses. The DebitCredit transaction
has rules for scaling the terminal network and database size as the
transaction rate increases, and also rules for distributing transactions
if the system is decentralized. The performance metrics for this
benchmark are: Elapsed time for the SCAN and SORT. Peak throughput
for the DebitCredit transaction at 1 second response time for 95%
of the transactions. This gives a TPS (Transactions Per Second) rating.
Price per transaction where price is the 5-year cost of hardware,
software and maintenance. This is sometimes called the vendors-view
of price. This benchmark has been adopted by several vendors to compare
their performance and price performance from release to release and
also to compare their performance to competitive products. MIPS,
Whetstones and MegaFLOPs have served a similar role in the scientific
community. A system's TPS rating indicates not just processor speed,
but also IO architecture, operating system, data communications and
database software performance. Unfortunately, it does not capture
ease-of-use. Work continues on formalizing these benchmarks. At present
they are written in English. Ultimately they should be defined by
a file generator and a set of programs written in a standard database
language such as COBOL-SQL. When a vendor first measures his system
against these benchmarks, the results are usually terrible. Both
benchmarks are designed to expose generic performance bugs in frequently
used transaction processing atoms. For example, the Wisconsin and
SCAN benchmarks heavily penalize a system which is slow to read the
next record in a file. A system with poor performance on these benchmarks
can be analyzed as follows: Most vendors have an “atomic” model of
their system which represents each transaction as a collection of
atoms. The atoms are the primitives of the system. For example, the
SCAN benchmark is represented by most vendors as: SCAN: BEGIN TRANSACTION
PERFORM 1000 TIMES READ SEQUENTIAL INSERT SEQUENTIAL COMMIT TRANSACTION
The atomic weights for, BEGIN, READ SEQUENTIAL, INSERT SEQUENTIAL,
and COMMIT are measured for each release. The atomic weight usually
consists of CPU instructions, message bytes, and disc IOs for a “typical”
call to that operation. These weights can be converted to service
times by knowing the speeds and utilizations of the devices (processors,
discs, lines) used for the application. The molecular weight and
service time of SCAN can then be computed as the sum of the atomic
weights. Defining and measuring a system's atoms is valuable. It
produces a simple conceptual model of how the system is used. Atomic
measurements also expose performance bugs. For example, based on
the SCAN benchmark, most systems perform READ SEQUENTIAL in 1000
instructions and with .02 disc IO. If a system uses many more instructions
or many more IO then it has a performance problem. Similarly, the
DebitCredit transaction typically consumes about 2OOKi (thousand
instructions) and five disc IO per transaction. One system is known
to use 800Ki and 14 IO per transaction. The vendor could use atomic
measurement to find the causes of such poor performance. When such
problems are localized to an atom, solutions to the problem readily
suggest themselves. So, atomic measurement is useful for performance
assurance and performance improvement. Atomic measurement also has
a major role in system sizing and in capacity planning. If the customer
can describe his application in terms of atoms, then a spreadsheet
application can give him an estimate of the CPU, disc and line cost
for the application. With substantially more effort (and assumptions)
the system's response time can be predicted. With even more effort,
a prototype system can be generated and benchmarked from the atomic
transaction descriptions. Snapshot [Stewart] and Envision [Envison]
are examples of systems which combine atomic modeling, queue modeling,
and ultimately benchmarking of real systems generated from the atomic
description of the application.",A view of database system performance measures,0
4,"GE's MEAD user interface-a flexible menu- and forms-driven interface
for engineering applications
The user interface (UI) of the MEAD computer-aided control engineering
(CACE) program is presented. After a brief presentation of the MEAD
computer program, the unifying philosophy behind the MEAD UI is discussed.
Main features of this UI include a point-and-click-style interaction,
a unifying grouping of similar functionality, and a graphical interface
to its CACE database management system. A typical modeling, analysis,
and design scenario is given to illustrate the interface. The use
of a user interface management system (UIMS) in the design and implementation
of the MEAD UI is discussed. The MEAD user interface is implemented
using an experimental UIMS developed at GE which supports both a
Tektronix terminal and X-window-based window systems. Some implementational
features of the MEAD user interface are that it is implemented using
an object-oriented database system; that it uses a state tree to
specify the dialog control; and that it is created entirely by means
of a graphical editor, thereby avoiding conventional programming.
The architecture of the UIMS is described and the implications of
creating a user interface with this UIMS are discussed","GE's MEAD user interface-a flexible menu- and forms-driven interface
for engineering applications",0
5,"The knowledge contribution of engineers to software development:
a case study
The focus of the authors is on the domain knowledge advantage of end
user prototyping (EUP). The authors present the case history of an
industrial engineer in an aluminum manufacturing company who becomes
a sophisticated user of microcomputers and successfully prototypes
an expert decision support system. Previous work in the field is
extended and enhanced, and how EUP builds upon the domain knowledge
possessed by end users, and thereby overcomes the domain knowledge
deficiency of software engineers, is demonstrated. When compared
to rapid prototyping by software engineers, prototyping by end users
enables more effective utilization of domain knowledge","The knowledge contribution of engineers to software development:
a case study",0
6,"Decision support engineering: a DSS development methodology
Current DSS research has demonstrated the viability of DSSs which
provide active support, are knowledge based, promote creativity,
and could act as tools for organizing thoughts. Very few of these
promising approaches have been tried out in practice for real-life
situations. One of the important reasons for this gap in state-of-the-art
DSS research and practice is the need for a comprehensive DSS development
methodology. This paper presents a comprehensive methodology based
on a life cycle model and encompassing an engineering approach to
DSS development. This approach assumes that functionality of a DSS
is a process of negotiation between the user and the builder, and
focusses on the support provided by a DSS, as this is the basic reason
for DSS development. As an engineering approach, it establishes the
standard for the level of support to be provided by the proposed
DSS in terms of task effectiveness and resource requirements. This
engineering approach has been used in a number of DSS development
projects and has produced successful DSS products",Decision support engineering: a DSS development methodology,0
7,"The implementation of a pre-paid electricity system in a third world
environment
The future of electricity billing to the small power and commercial
user lies in pre-payment metering. The system consists of three major
items. The dispenser is placed inside the consumer's home, it allows
the consumer to use electricity as long as they are in credit, it
also indicates how much electricity is being used. The validation
or credit dispensing unit, generates tokens or encrypted numbers
to the value of money paid. The validator should be placed at convenient
sites such as shops or workplaces. The master station is a computer
that provides the management and financial control of a project area","The implementation of a pre-paid electricity system in a third world
environment",0
8,"The challenges of utilizing intelligent human-computer interface
technology in South Africa and other African developing countries
Labor mismatch problems frequently occur in developing countries,
like South Africa, that acquire advanced technology from developed
countries. Some of these problems also occur globally. Many are,
however, a result of the unique socio-cultural background of the
labor force. Special attention must be paid to human factors in the
local context to fully exploit the potential of advanced technology.
In many cases intelligent interfaces appear to present the most viable
solution. However, it is not a panacea. In certain instances a technological
solution is not feasible and training may be the only alternative.
Three key challenges in ensuring the effective exploitation of intelligent
interface technology in South Africa and other African developing
countries are described. The complexity, and consequently the risk,
in the development of intelligent interface technology can be controlled
in several ways, which are discussed","The challenges of utilizing intelligent human-computer interface
technology in South Africa and other African developing countries",0
9,"Bringing application services and users together-the electronic mail
example
More and more people are using electronic mail systems. However, virtually
no efforts have been made to examine in how far services provided
by these systems really meet the actual user requirements. As an
initial step, a rough analysis of user demands is given. This is
followed by a brief introduction to CCITT's X.400/X.500 recommendations,
which will form the basis of all future multivendor mail systems.
Services defined in these recommendations are matched against the
idenitfied requirements. Finally, some useful enhancements of X.400/X.500
are proposed","Bringing application services and users together-the electronic mail
example",0
