,title-abstract,title,label
0,"The Case for Collaborative Programming
Team programming usually means coordinating efforts of individual
programmers who divide up the programming tasks for a large, complex
system. Collaborative programming is used here to mean 2 programmers
jointly working on the same algorithm and code. Previous research
indicates that student programmers working collaboratively outperformed
individual programmers. A follow-up field experiment was conducted
using experienced programmers who worked on a challenging problem
important to their organization, in their own environment. To the
surprise of the managers and participants, all the teams outperformed
the individual programmers, enjoyed the problem-solving process more,
and had greater confidence in their solutions.",The Case for Collaborative Programming,0
1,"But, isn't that cheating? [collaborative programming]
Can university computer science students benefit from collaborative
programming? The author discusses his experiences with a class he
taught at the University of Utah which set out to study pair programming
in an educational setting. The class, an Active Server Pages (ASP)
web programming class, consisted of 20 juniors and seniors. The students
were very familiar with programming, but not with the web programming
languages learned and used in the class. Each student was paired
with another student to work with for the entire semester. Tests
were, however, taken individually. They understood that the idea
was not to break the class project into two pieces and integrate
later. The idea was to work together (almost) all the time on one
product. These requirements were stated in the course announcement
and were re-stated at the start of the class. Most skeptically, but
enthusiastically, embarked on making the transition from solo to
collaborative programming. The consensus of the class was very, very
positive about the technique. Making the transition to pair programming
involves breaking down some personal barriers beginning with the
understanding that talking is not cheating. Pair programming has
the potential of changing how programming classes are taught in order
to benefit the students' learning experience.","But, isn't that cheating? [collaborative programming]",0
2,"Pair Programming: Development times two
By teaming developers into two-person groups, you can boost both software
quality and staff satisfaction.",Pair Programming: Development times two,0
3,"The costs and benefits of pair programming
Pair or collaborative programming is where two programmers develop
software side by side at one computer. Using interviews and controlled
experiments, the authors investigated the costs and benefits of pair
programming. They found that for a development-time cost of about
15%, pair programming improves design quality, reduces defects, reduces
staffing risk, enhances technical skills, improves team communications
and is considered more enjoyable at statistically significant levels.",The costs and benefits of pair programming,0
4,"Extreme programming and its development practices
Extreme programming (XP) has attracted attention because of its fierce
denial of many well-accepted software engineering practices considered
as a sound approach to the development of intensive software systems.
XP has been declared to be a new way of software development: a lightweight
methodology, which is efficient, low-risk, flexible, predictable,
scientific, and distinguishable from any other methodology. In the
core of XP practices are programming activities, with strong emphasis
on oral communications, automated tests, pair programming, storytelling
culture and collective code-ownership at any time in the XP project.
The paper gives an overview of XP practices and raises some serious
concerns regarding their role in conceptual modelling and code generation;
which directly affects software architecture solutions. The paper
also tackles similarities between rational unified process (RUP)
and XP, which have often been juxtaposed by software developers.",Extreme programming and its development practices,0
5,"Extreme programming: a university team design experience
The paper discusses an experience in applying the extreme programming
approach to the 4 year team design project course. Extreme programming
is a methodology for software system development that focuses on
high customer integration, extensive testing, code-centered development
and documentation, refactoring and paired programming. Typically,
the project course is managed using the standard waterfall or V-shaped
development models with a faculty advisor acting as a customer for
the project. In this project extreme programming has been used instead.
Extreme programming is based on a sequence of development practices,
including pair programming, very accurate configuration management,
strong customer interaction based on ""system stories"", detailed testing.
In this project, paired programmers are used for the duration of
a release and then the pairs rotate. The distributed programming
environment is handled using the JCVS suite of configuration management
tools. Every 3-4 weeks, a new fully functional release is delivered
and reviewed by the customer. The specifications for each release
are captured incrementally using use case scenarios. Only the essential
requirements for the current iteration are implemented. The JUnit
test suite is also used to test each of the Java classes on an ongoing
basis. The test suite verifies all aspects of the software at each
build; this is necessary when refactoring components. Requirements
capture, design and implementation of the deliverables are performed
incrementally and result in quicker development times and reduced
defects. Refactoring is applied wherever possible to simplify the
code. Documentation is applied using the standard JavaDoc utility
and is kept to a minimum. Finally, customer feedback is immediately
incorporated into future iterations of the design process.",Extreme programming: a university team design experience,0
6,"All I really need to know about pair programming I learned in kindergarten
Pair programming is a practice in which two programmers work side-by-side
at one computer, continuously collaborating on the same design, algorithm,
code or test. This method has been demonstrated to improve productivity
and the quality of software products. When it comes to programming
practices, studies show two heads are almost always better than one.
Programmers are universally more confident in their solutions when
programming in pairs as opposed to working alone. Likewise, most
of them enjoy their jobs more when pair programming. However, most
programmers are long conditioned to working alone and often resist
the transition to pair programming. Ultimately, most make this transition
with great success. The goal of this article is to help programmers
become effective pair programmers. The transition to and on-going
success as a pair programmer often involves practicing everyday civility.
In this article we explore the inherent lessons related to successful
pair programming.",All I really need to know about pair programming I learned in kindergarten,0
7,"The effects of ""pair-pressure"" and ""pair-learning"" on software engineering
education
Anecdotal evidence from several sources, primarily in industry, indicates
that two programmers working collaboratively on the same design,
algorithm, code, or test perform substantially better than the two
would working alone. In this technique, often called ""pair programming""
or ""collaborative programming"", one person is the ""driver"" and has
control of the pencil/mouse/keyboard and is writing the design or
code. The other person continuously and actively observes the work
of the driver-watching for defects, thinking of alternatives, looking
up resources, and considering strategic implications of the work
at hand. A course in Web programming was taught at the University
of Utah in Summer Semester 1999. In this course, the students worked
in pairs, continuously collaborating on all programming assignments.
Using the technique, the students applied a positive form of ""pair-pressure""
on each other, which proved beneficial to the quality of their work
products. The students also benefited from ""pair-learning"", which
allowed them to learn new languages faster and better than they had
experienced with solitary learning. ""Pair-learning"" also reduced
the workload of the teaching because the students no longer relied
primarily on them for technical support and advise.","The effects of ""pair-pressure"" and ""pair-learning"" on software engineering
education",1
8,"Strengthening the case for pair programming
Pair programming has been practiced in industry with great success
for years. Yet, most who have nut tried and tested pair programming
reject the idea immediately as a redundant, wasteful use of programming
resources. This article demonstrates that incorporating pair programming
into a software development process will help yield software products
of better quality in less time with happier, more confident programmers.",Strengthening the case for pair programming,1
9,"Program comprehension risks and opportunities in extreme programming
Investigates the relationship between reverse engineering and program
comprehension on the one hand, and the software process on the other.
To understand this relationship, we select one particular existing
software process, extreme programming (XP), and study the role played
in it by program comprehension and reverse engineering. To that end,
we analyze five key XP practices in depth: pair programming, unit
testing, refactoring, evolutionary design and collaborative planning.
The contributions of this paper are: (1) the identification of promising
research areas in the field of program comprehension; (2) the identification
of new application perspectives for reverse engineering technology;
(3) a critical analysis of XP resulting in research questions that
could help resolve some of the uncertainties surrounding XP; and
(4) a discussion of the role that comprehension and reverse engineering
can play in software process design.",Program comprehension risks and opportunities in extreme programming,0
10,"Pair programming on the C3 project
Chrysler's Comprehensive Compensation (C3) project was one of the
first large-scale IT projects on which Extreme Programming (XP) precepts
were attempted. As XP was being invented, we didn't really think
of it as a theoretical or methodological breakthrough; it was simply
an opportunity to get the job done. The ""theory"" came about later
because of the practice's success. In my opinion, XP is not a theory,
but a cogent descriptive body of successful praxis. Some people consider
pair programming, an XP technique, to be difficult, unworkable, or
downright weird. After all, what does the workstation represent,
if not finally having your own computer? The idea of sharing your
machine with someone seems like a lot of bother without much reward.
How can you talk if you're trying to think? And how can you think
if you first have to explain what you're thinking about? Having participated
on the C3 project as a performance-tuning consultant beginning in
1996, I can attest to the success of pair programming. At the same
time, I can show instances where it did not work or was not emphasized
in this early XP project. In a sense, this pragmatism is the strength
of XP: Use a technique where it works, ignore it where it doesn't.
XP has never been prescribed as a panacea. XP's pair programming
helps programmers synthesize their individual expertise into an effective
combination.",Pair programming on the C3 project,0
11,"Case study: extreme programming in a university environment
Extreme programming (XP) is a new and controversial software process
for small teams. A practical training course at the University of
Karlsruhe led to the following observations about the key practices
of XP. First, it is unclear how to reap the potential benefits of
pair programming, although pair programming produces high-quality
code. Second, designing in small increments appears to be problematic
but ensures rapid feedback about the code. Third, while automated
testing is helpful, writing test cases before coding is a challenge.
Last, it is difficult to implement XP without coaching. This paper
also provides some guidelines for those starting out with XP.",Case study: extreme programming in a university environment,0
12,"Experimental Evaluation of Pair Programming
Pair programming is a kind of collaborative programming where two
people are working simultaneously on the same programming task. It
is one of the key practices of eXtreme Programming. In the paper
we

compare it with two variants of individual programming: one of them
is based on Personal Software Process that has been proposed by W.
Humphrey, and the other is a variant of eXtreme Programming tailored

to individuals. Four experiments are described that has been performed
at the Poznan University of Technology. During those experiments
21 students wrote 4 C/C++ programs ranging from 150 to

400 LOC. The obtained results are compared with the results of similar
experiments described by J.T. Nosek and L. Williams et al.",Experimental Evaluation of Pair Programming,1
13,"Extreme Programming from a CMM perspective
Extreme Programming (XP) has been advocated recently as an appropriate
programming method for the high-speed, volatile world of Internet
and Web software development. This popular methodology is

reviewed from the perspective of the Capability Maturity Model (CMM)
for Software, a five-level model that prescribes process improvement
priorities for software organizations. Overviews of both XP and CMM

are provided, and XP is critiqued from a Software CMM perspective.
The conclusion is that lightweight methodologies such as XP advocate
many good engineering practices, although some practices may be

controversial and counter-productive outside a narrow domain. For
those interested in process improvement, the ideas in XP should be
carefully considered for adoption where appropriate in an

organization's business environment since XP can be used to address
many of the CMM Level 2 and 3 practices. In turn, organizations using
XP should carefully consider the management and infrastructure issues

described in the CMM.",Extreme Programming from a CMM perspective,0
