,title-abstract,label,title
0,"Research in computer science: an empirical study
In this paper, we examine the state of computer science (CS) research
from the point of view of the following research questions: What
topics do CS researchers address? What research approaches do CS
researchers use? What research methods do CS researchers use? On
what reference disciplines does CS research depend? At what levels
of analysis do CS researchers conduct research? To answer these questions,
we examined 628 papers published between 1995 and 1999 in 13 leading
research journals in the CS field. Our results suggest that while
CS research examines a variety of technical topics it is relatively
focused in terms of the level at which research is conducted as well
as the research techniques used. Further, CS research seldom relies
on work outside the discipline for its theoretical foundations. We
present our findings as an evaluation of the state of current research
and as groundwork for future CS research efforts.",1,Research in computer science: an empirical study
1,"A survey of software refactoring
We provide an extensive overview of existing research in the field
of software refactoring. This research is compared and discussed
based on a number of different criteria: the refactoring activities
that are supported, the specific techniques and formalisms that are
used for supporting these activities, the types of software artifacts
that are being refactored, the important issues that need to be taken
into account when building refactoring tool support, and the effect
of refactoring on the software process. A running example is used
to explain and illustrate the main concepts.",0,A survey of software refactoring
2,"Model-Based Performance Prediction in Software Development: A Survey
Over the last decade, a lot of research has been directed toward integrating
performance analysis into the software development process. Traditional
software development methods focus on software correctness, introducing
performance issues later in the development process. This approach
does not take into account the fact that performance problems may
require considerable changes in design, for example, at the software
architecture level, or even worse at the requirement analysis level.
Several approaches were proposed in order to address early software
performance analysis. Although some of them have been successfully
applied, we are still far from seeing performance analysis integrated
into ordinary software development. In this paper, we present a comprehensive
review of recent research in the field of model-based performance
prediction at software development time in order to assess the maturity
of the field and point out promising research directions.",0,Model-Based Performance Prediction in Software Development: A Survey
3,"Architecting for usability: a survey
Over the years the software engineering community has increasingly
realized the important role software architecture plays in fulfilling
the quality requirements of a system. The quality attributes of a
software system are, to a large extent determined by the system’s
software architecture. In recent years, the software engineering
community has developed various tools and techniques that allow for
design for quality attributes, such as performance or maintainability,
at the software architecture level. We believe this design approach
can be applied not only to “traditional” quality attributes such
as performance or maintainability but also to usability. This survey
explores the feasibility of such a design approach. Current practice
is surveyed from the perspective of a software architect. Are there
any design methods that allow for design for usability at the architectural
level? Are there any evaluation tools that allow assessment of architectures
for their support of usability? What is usability? A framework is
presented which visualizes these three research questions. Usability
should drive design at all stages, but current usability engineering
practice fails to fully achieve this goal. Our survey shows that
there are no design techniques or assessment tools that allow for
design for usability at the architectural level.",0,Architecting for usability: a survey
4,"A review of studies on expert estimation of software development
effort
This paper provides an extensive review of studies related to expert
estimation of software development effort. The main goal and contribution
of the review is to support the research on expert estimation, e.g.,
to ease other researcher's search for relevant expert estimation
studies. In addition, we provide software practitioners with useful
estimation guidelines, based on the research-based knowledge of expert
estimation processes. The review results suggest that expert estimation
is the most frequently applied estimation strategy for software projects,
that there is no substantial evidence in favour of use of estimation
models, and that there are situations where we can expect expert
estimates to be more accurate than formal estimation models. The
following 12 expert estimation ""best practice"" guidelines are evaluated
through the review: (1) evaluate estimation accuracy, but avoid high
evaluation pressure; (2) avoid conflicting estimation goals; (3)
ask the estimators to justify and criticize their estimates; (4)
avoid irrelevant and unreliable estimation information; (5) use documented
data from previous development tasks; (6) find estimation experts
with relevant domain background and good estimation records; (7)
Estimate top-down and bottom-up, independently of each other; (8)
use estimation checklists; (9) combine estimates from different experts
and estimation strategies; (10) assess the uncertainty of the estimate;
(11) provide feedback on estimation accuracy and development task
relations; and, (12) provide estimation training opportunities. We
found supporting evidence for all 12 estimation principles, and provide
suggestions on how to implement them in software organizations.",1,"A review of studies on expert estimation of software development
effort"
5,"Reviewing 25 years of testing technique experiments
Mature knowledge allows engineering disciplines the achievement of
predictable results. Unfortunately, the type of knowledge used in
software engineering can be considered to be of a relatively low
maturity, and developers are guided by intuition, fashion or market-speak
rather than by facts or undisputed statements proper to an engineering
discipline. Testing techniques determine different criteria for selecting
the test cases that will be used as input to the system under examination,
which means that an effective and efficient selection of test cases
conditions the success of the tests. The knowledge for selecting
testing techniques should come from studies that empirically justify
the benefits and application conditions of the different techniques.
This paper analyzes the maturity level of the knowledge about testing
techniques by examining existing empirical studies about these techniques.
We have analyzed their results, and obtained a testing technique
knowledge classification based on their factuality and objectivity,
according to four parameters.",1,Reviewing 25 years of testing technique experiments
6,"A survey on software estimation in the Norwegian industry
We provide an overview of the estimation methods that software companies
apply to estimate their projects, why those methods are chosen, and
how accurate they are. In order to improve estimation accuracy, such
knowledge is essential. We conducted an in-depth survey, where information
was collected through structured interviews with senior managers
from 18 different companies and project managers of 52 different
projects. We analyzed information about estimation approach, effort
estimation accuracy and bias, schedule estimation accuracy and bias,
delivered functionality and other estimation related information.
Our results suggest, for example, that average effort overruns are
41%, that the estimation performance has not changed much the last
10-20 years, that expert estimation is the dominating estimation
method, that estimation accuracy is not much impacted by use of formal
estimation models, and that software managers tend to believe that
the estimation accuracy of their company is better than it actually
is.",1,A survey on software estimation in the Norwegian industry
7,"Capture–recapture in software inspections after 10 years research
– theory, evaluation and application
Software inspection is a method to detect faults in the early phases
of the software life cycle. In order to estimate the number of faults
not found, capture–recapture was introduced for software inspections
in 1992 to estimate remaining faults after an inspection. Since then,
several papers have been written in the area, concerning the basic
theory, evaluation of models and application of the method. This
paper summarizes the work made in capture–recapture for software
inspections during these years. Furthermore, and more importantly,
the contribution of the papers are classified as theory, evaluation
or application, in order to analyse the performed research as well
as to highlight the areas of research that need further work. It
is concluded that (1) most of the basic theory is investigated within
biostatistics, (2) most software engineering research is performed
on evaluation, a majority ending up in recommendation of the Mh–JK
model, and (3) there is a need for application experiences. In order
to support the application, an inspection process is presented with
decision points based on capture–recapture estimates.",1,"Capture–recapture in software inspections after 10 years research
– theory, evaluation and application"
8,"Overlooked aspects of COTS-based development
Although developing with commercial-off-the-shelf components is gaining
more attention from both research and industrial communities, most
literature on the topic doesn't clearly identify context variables
such as the type of products, projects, and systems. In particular,
the literature often lacks a definition of ""COTS product,"" or, when
a definition is present, it invariably disagrees with other studies.
A shared definition would improve discourse and enable researchers
to meta-analyze published empirical data. After a speculative effort
to define and classify COTS products, we decided to obtain this much-needed
understanding from the bottom up. We asked people involved in industrial
projects to name the key features in COTS-based development and to
tell us what they think constitutes a COTS product. We present the
interview results in the form of six theses, which contradict widely
accepted (or simply undisputed) ideas. We also present a definition
of ""COTS product"" that captures the key features.",1,Overlooked aspects of COTS-based development
9,"An analysis of research in computing disciplines
Comparing the topics and methods of the three major subdivisions of
the computing realm.",1,An analysis of research in computing disciplines
10,"A survey of component based system quality assurance and assessment
Component Based Software Development (CBSD) is focused on assembling
existing components to build a software system, with a potential
benefit of delivering quality systems by using quality components.
It departs from the conventional software development process in
that it is integration centric as opposed to development centric.
The quality of a component based system using high quality components
does not therefore necessarily guarantee a system of high quality,
but depends on the quality of its components, and a framework and
integration process used. Hence, techniques and methods for quality
assurance and assessment of a component based system would be different
from those of the traditional software engineering methodology. It
is essential to quantify factors that contribute to the overall quality,
for instances, the trade off between cost and quality of a component,
analytical techniques and formal methods, and quality attribute definitions
and measurements. This paper presents a literature survey of component
based system quality assurance and assessment; the areas surveyed
include formalism, cost estimation, and assessment and measurement
techniques for the following quality attributes: performance, reliability,
maintainability and testability. The aim of this survey is to help
provide a better understanding of CBSD in these aspects in order
to facilitate the realisation of its potential benefits of delivering
quality systems.",0,A survey of component based system quality assurance and assessment
11,"Impact of software engineering research on the practice of software
configuration management
SCM (Software Configuration Management) is arguably one of the most
successful software engineering disciplines. It is difficult to imagine
this kind of success would have prevailed without research fueling
continuous innovations. This paper demonstrates that the impact of
this research, whether industrial or academic in nature, is undeniable
- most fundamental techniques underlying current SCM systems were
first published in one form or another. Like any other field, SCM
research has had its successes and failures. Certain ideas are universally
adopted, others have had limited impact, and yet others never saw
fruition. Timing has been critical: whereas some contributions could
immediately be related to practical, day-to-day problems, others
were too early for their time and not practically relevant for the
problems then at hand.",0,"Impact of software engineering research on the practice of software
configuration management"
12,"The impact of software engineering research on modern progamming
languages
Software engineering research and programming language design have
enjoyed a symbiotic relationship, with traceable impacts since the
1970s, when these areas were first distinguished from one another.
This report documents this relationship by focusing on several major
features of current programming languages: data and procedural abstraction,
types, concurrency, exceptions, and visual programming mechanisms.
The influences are determined by tracing references in publications
in both fields, obtaining oral histories from language designers
delineating influences on them, and tracking cotemporal research
trends and ideas as demonstrated by workshop topics, special issue
publications, and invited talks in the two fields. In some cases
there is conclusive data supporting influence. In other cases, there
are circumstantial arguments (i.e., cotemporal ideas) that indicate
influence. Using this approach, this study provides evidence of the
impact of software engineering research on modern programming language
design and documents the close relationship between these two fields.",0,"The impact of software engineering research on modern progamming
languages"
13,"Combating architectural degeneration: a survey
As software systems evolve over time, they invariably undergo changes
that can lead to a degeneration of the architecture. Left unchecked,
degeneration may reach a level where a complete redesign is necessary,
a task that requires significant effort. In this paper, we present
a survey of technologies developed by researchers that can be used
to combat degeneration, that is, technologies that can be employed
in identifying, treating and researching degeneration. We also discuss
the various causes of degeneration and how it can be prevented.",0,Combating architectural degeneration: a survey
14,"Software effort estimation terminology: the tower of Babel
It is well documented that the software industry suffers from frequent
cost overruns. A contributing factor is, we believe, the imprecise
estimation terminology in use. A lack of clarity and precision in
the use of estimation terms reduces the interpretability of estimation
accuracy results, makes the communication of estimates difficult,
and lowers the learning possibilities. This paper reports on a structured
review of typical software effort estimation terminology in software
engineering textbooks and software estimation research papers. The
review provides evidence that the term ‘effort estimate’ is frequently
used without sufficient clarification of its meaning, and that estimation
accuracy is often evaluated without ensuring that the estimated and
the actual effort are comparable. Guidelines are suggested on how
to reduce this lack of clarity and precision in terminology.",1,Software effort estimation terminology: the tower of Babel
15,"The consistency of empirical comparisons of regression and analogy-based
software project cost prediction
The objective is to determine the consistency within and between results
in empirical studies of software engineering cost estimation. We
focus on regression and analogy techniques as these are commonly
used. We conducted an exhaustive literature search using predefined
inclusion and exclusion criteria and identified 67 journal papers
and 104 conference papers. From this sample we identified 11 journal
papers and 9 conference papers that used both methods. Our analysis
found that about 25% of studies were internally inconclusive. We
also found that there is approximately equal evidence in favour of,
and against analogy-based methods. We confirm the lack of consistency
in the findings and argue that this inconsistent pattern from 20
different studies comparing regression and analogy is somewhat disturbing.
It suggests that we need to ask more detailed questions than just:
What is the best prediction system?",1,"The consistency of empirical comparisons of regression and analogy-based
software project cost prediction"
16,"A survey of controlled experiments in software engineering
The classical method for identifying cause-effect relationships is
to conduct controlled experiments. This paper reports upon the present
state of how controlled experiments in software engineering are conducted
and the extent to which relevant information is reported. Among the
5,453 scientific articles published in 12 leading software engineering
journals and conferences in the decade from 1993 to 2002, 103 articles
(1.9 percent) reported controlled experiments in which individuals
or teams performed one or more software engineering tasks. This survey
quantitatively characterizes the topics of the experiments and their
subjects (number of subjects, students versus professionals, recruitment,
and rewards for participation), tasks (type of task, duration, and
type and size of application) and environments (location, development
tools). Furthermore, the survey reports on how internal and external
validity is addressed and the extent to which experiments are replicated.
The gathered data reflects the relevance of software engineering
experiments to industrial practice and the scientific maturity of
software engineering research.",1,A survey of controlled experiments in software engineering
